imcraRegion,yearStart,yearEnd,griisStatus,recordCount,speciesCount
Hawkesbury Shelf,2016,2020,Invasive,64,11
Hawkesbury Shelf,2016,2020,Native,60967,2460
Karumba-Nassau,1900,1970,Native,4062,792
Karumba-Nassau,1971,1975,Introduced,1,1
Karumba-Nassau,1971,1975,Native,807,213
Karumba-Nassau,1976,1980,Native,3752,608
Karumba-Nassau,1981,1985,Native,898,295
Karumba-Nassau,1986,1990,Native,950,317
Karumba-Nassau,1991,1995,Native,103,64
Karumba-Nassau,1996,2000,Native,6218,564
Karumba-Nassau,2001,2005,Native,2158,400
Karumba-Nassau,2006,2010,Native,222,80
Karumba-Nassau,2011,2015,Native,984,218
Karumba-Nassau,2016,2020,Native,829,135
Kimberley,1900,1970,Native,1776,883
Kimberley,1971,1975,Introduced,1,1
Kimberley,1971,1975,Native,778,444
Kimberley,1976,1980,Native,2060,683
Kimberley,1981,1985,Introduced,1,1
Kimberley,1981,1985,Native,1500,588
Kimberley,1986,1990,Introduced,7,7
Kimberley,1986,1990,Native,2368,960
Kimberley,1991,1995,Introduced,15,14
Kimberley,1991,1995,Native,2800,1054
Kimberley,1996,2000,Introduced,6,5
Kimberley,1996,2000,Invasive,1,1
Kimberley,1996,2000,Native,2013,593
Kimberley,2001,2005,Introduced,2,1
Kimberley,2001,2005,Native,2390,422
Kimberley,2006,2010,Introduced,6,4
Kimberley,2006,2010,Native,2238,802
Kimberley,2011,2015,Native,1636,321
Kimberley,2016,2020,Native,1016,297
King Sound,1900,1970,Introduced,2,1
King Sound,1900,1970,Native,297,188
King Sound,1971,1975,Introduced,1,1
King Sound,1971,1975,Native,106,97
King Sound,1976,1980,Native,238,102
King Sound,1981,1985,Native,266,84
King Sound,1986,1990,Native,30,21
King Sound,1991,1995,Native,4,3
King Sound,1996,2000,Introduced,1,1
King Sound,1996,2000,Native,262,77
